App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
All Events in City,EVENTS,4.0,3782,9.5M,"100,000+",Free,0,Everyone,Events,"June 12, 2018",8.4,4.0.3 and up
Ticketmaster Event Tickets,EVENTS,4.0,40113,36M,"5,000,000+",Free,0,Everyone,Events,"July 23, 2018",Varies with device,Varies with device
Reminder,EVENTS,4.5,7074,6.3M,"500,000+",Free,0,Everyone,Events,"June 25, 2018",1.57,4.1 and up
Birdays - Birthday reminder,EVENTS,4.5,2153,5.9M,"50,000+",Free,0,Everyone,Events,"December 14, 2017",1.5.0,4.1 and up
"StubHub - Tickets to Sports, Concerts & Events",EVENTS,4.0,26089,Varies with device,"5,000,000+",Free,0,Everyone,Events,"August 2, 2018",4.2.1,Varies with device
Fever,EVENTS,4.0,20611,12M,"1,000,000+",Free,0,Teen,Events,"July 18, 2018",4.3.6,4.1 and up
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,0,Everyone,Events,"May 29, 2018",3.8,4.0 and up
"SeatGeek – Tickets to Sports, Concerts, Broadway",EVENTS,4.4,15558,26M,"1,000,000+",Free,0,Everyone,Events,"August 3, 2018",2018.07.31229,5.0 and up
my4D,EVENTS,4.6,573,8.7M,"100,000+",Free,0,Everyone,Events,"July 12, 2018",1.40,4.2 and up
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,,37,16M,"10,000+",Free,0,Everyone,Events,"November 27, 2017",1.0,4.0 and up
Vivid Seats – Event Tickets,EVENTS,4.6,8232,53M,"1,000,000+",Free,0,Everyone,Events,"July 31, 2018",Varies with device,5.0 and up
Name days,EVENTS,4.1,3089,Varies with device,"100,000+",Free,0,Everyone,Events,"July 12, 2018",Varies with device,Varies with device
LBB - Find New & Unique Things To Do Around You,EVENTS,4.6,3874,14M,"100,000+",Free,0,Everyone,Events,"July 27, 2018",4.0.19,4.2 and up
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,"100,000+",Free,0,Everyone,Events,"December 4, 2017",1.3,4.1 and up
Series Valley of the Wolves full of part,EVENTS,4.6,731,11M,"50,000+",Free,0,Everyone,Events,"December 24, 2017",2.0,4.0 and up
Mummatikabalkuragi,EVENTS,4.9,69,334k,"1,000+",Free,0,Teen,Events,"July 22, 2018",1.0,4.0 and up
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24M,"1,000,000+",Free,0,Everyone,Events,"July 17, 2018",11.1.1,5.0 and up
"PTI Flex Maker, Photo Frame Editor & Songs 2018",EVENTS,4.6,99,13M,"10,000+",Free,0,Everyone,Events,"July 6, 2018",1.1,4.2 and up
Wipe out,EVENTS,4.7,30,Varies with device,500+,Free,0,Teen,Events,"May 23, 2018",Varies with device,Varies with device
Birthdays & Other Events,EVENTS,4.3,456,2.8M,"50,000+",Free,0,Everyone,Events,"June 21, 2018",1.75,2.3.3 and up
Sarajevo Film Festival - Official,EVENTS,,6,9.7M,100+,Free,0,Everyone 10+,Events,"July 31, 2018",2.0.1,4.4W and up
Summer Madness,EVENTS,,4,1.4M,100+,Free,0,Everyone,Events,"July 26, 2018",1.107,4.0 and up
Events High - Meet Your City!,EVENTS,4.2,3200,Varies with device,"100,000+",Free,0,Everyone 10+,Events,"June 23, 2018",Varies with device,Varies with device
vide-greniers.org,EVENTS,4.3,5839,3.5M,"100,000+",Free,0,Everyone,Events,"November 8, 2016",16.11.8,2.3.3 and up
SUMMER SONIC app,EVENTS,5.0,4,61M,500+,Free,0,Everyone,Events,"July 24, 2018",1.0,4.4 and up
Quake & Volcanoes: 3D Globe of Volcanic Eruptions,EVENTS,4.4,663,6.0M,"100,000+",Free,0,Everyone,Events,"October 14, 2017",1.1.3,4.1 and up
Prosperity,EVENTS,5.0,16,2.3M,100+,Free,0,Everyone,Events,"July 9, 2018",1.14,2.0 and up
Picktrainer: India's largest photo contest app,EVENTS,4.5,1065,9.0M,"100,000+",Free,0,Everyone,Events,"May 31, 2018",1.3.2,4.1 and up
AAS-IN-ASIA 2018,EVENTS,,3,11M,100+,Free,0,Everyone,Events,"July 4, 2018",1.1.9,4.1 and up
Moot Peru 2018,EVENTS,,13,27M,"1,000+",Free,0,Everyone,Events,"June 28, 2018",1.0,3.0 and up
FM News,EVENTS,,46,3.6M,"5,000+",Free,0,Everyone,Events,"July 4, 2018",1.4,4.2 and up
Goldstar: Live Event Tickets,EVENTS,4.5,1953,Varies with device,"100,000+",Free,0,Teen,Events,"August 1, 2018",Varies with device,Varies with device
Emmabodafestivalen,EVENTS,4.8,12,29M,"1,000+",Free,0,Everyone 10+,Events,"June 28, 2018",42.0,4.2 and up
KudaGo - things to do in NY,EVENTS,4.4,4298,4.4M,"100,000+",Free,0,Everyone,Events,"April 27, 2017",2.2.2,4.0 and up
Mindvalley U Tallinn 2018,EVENTS,5.0,1,21M,100+,Free,0,Everyone,Events,"July 3, 2018",1.0.5,4.4 and up
Rockmaraton Info,EVENTS,,49,13M,"1,000+",Free,0,Everyone,Events,"July 8, 2018",18.4,4.4 and up
Freitas Auctioneer Official,EVENTS,3.7,100,27M,"50,000+",Free,0,Everyone,Events,"December 15, 2017",1.0.11,4.0.3 and up
mobLee Events,EVENTS,,11,11M,"5,000+",Free,0,Everyone,Events,"May 30, 2018",3.05.30.16,4.1 and up
"Xceed - Clubs, DJs, Festivals & Tickets",EVENTS,4.1,399,24M,"100,000+",Free,0,Everyone,Events,"August 3, 2018",Cannonau 3.11.11,5.0 and up
AMM Events & CPD,EVENTS,,5,6.1M,100+,Free,0,Everyone,Events,"August 4, 2018",1.0.5,4.3 and up
Arab Halls - For Wedding & Events,EVENTS,4.8,28,6.3M,"1,000+",Free,0,Everyone,Events,"May 20, 2018",8.0bld14,4.1 and up
MeAuDote - An act of love that saves a life,EVENTS,,250,23M,"1,000+",Free,0,Everyone,Events,"June 22, 2018",1.0.11,4.1 and up
TCF National Conference,EVENTS,,1,34M,100+,Free,0,Everyone,Events,"July 11, 2018",1.0,4.1 and up
Endurance Lifestyle,EVENTS,4.6,7,3.8M,500+,Free,0,Teen,Events,"July 10, 2017",2.1,4.2 and up
The T Factor,EVENTS,4.8,48,13M,"1,000+",Free,0,Everyone,Events,"September 26, 2017",8.8,4.2 and up
Event Manager - AllEvents.in,EVENTS,4.7,120,5.1M,"10,000+",Free,0,Everyone,Events,"July 25, 2018",2.5,4.0.3 and up
AO Player,EVENTS,4.0,9,3.3M,"1,000+",Free,0,Everyone,Events,"December 20, 2017",1.1.4,4.4 and up
Outdoor Movies BC,EVENTS,2.9,7,Varies with device,500+,Free,0,Everyone,Events,"June 22, 2018",Varies with device,4.4 and up
BK Travel Solutions,EVENTS,,1,11M,100+,Free,0,Everyone,Events,"June 14, 2018",1.3.0,4.1 and up
Bo Aung Din,EVENTS,4.1,110,2.6M,"5,000+",Free,0,Teen,Events,"June 5, 2018",Version 1.3.1,4.0.3 and up
BP Fitness Lead Scanner,EVENTS,,0,6.7M,1+,Paid,$109.99,Everyone,Events,"August 23, 2017",0.0.1,4.1 and up
Bw Events,EVENTS,4.4,16,1.7M,100+,Free,0,Everyone,Events,"August 9, 2016",1.0,4.0 and up
CG BILASPUR CARNIVAL,EVENTS,3.8,59,1.8M,"5,000+",Free,0,Everyone,Events,"April 11, 2018",1.5,4.0 and up
